# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May  6 10:43:37 2020
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_facility:    Discovery Facility
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN pl_edelink:     Link to Exoplanet Data Explorer
#
pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,st_dist,st_teff,pl_disc,pl_facility,pl_pelink,pl_edelink
11 Com b,Radial Velocity,1,326.03000000,1.290000,0.231000,,19.40000,,93.37,4742.00,2007,Xinglong Station,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b
11 UMi b,Radial Velocity,1,516.21997000,1.530000,0.080000,,14.74000,,125.72,4213.00,2009,Thueringer Landessternwarte Tautenburg,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b
14 And b,Radial Velocity,1,185.84000000,0.830000,0.000000,,4.80000,,75.59,4813.00,2008,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b
14 Her b,Radial Velocity,1,1773.40002000,2.930000,0.370000,,4.66000,,17.94,5338.00,2002,W. M. Keck Observatory,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b
16 Cyg B b,Radial Velocity,1,798.50000000,1.660000,0.680000,,1.78000,,21.15,5750.00,1996,Multiple Observatories,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b
18 Del b,Radial Velocity,1,993.30000000,2.600000,0.080000,,10.30000,,76.38,4979.00,2008,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b
1RXS J160929.1-210524 b,Imaging,1,,330.000000,,,8.00000,,145.00,4060.00,2008,Gemini Observatory,http://exoplanet.eu/catalog/1rxs_1609_b/,
24 Boo b,Radial Velocity,1,30.35060000,0.190000,0.042000,,0.91000,,96.25,4893.00,2018,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/24_boo_b/,
24 Sex b,Radial Velocity,2,452.80000000,1.333000,0.090000,,1.99000,,72.21,5098.00,2010,Lick Observatory,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b
24 Sex c,Radial Velocity,2,883.00000000,2.080000,0.290000,,0.86000,,72.21,5098.00,2010,Lick Observatory,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c
2MASS J01225093-2439505 b,Imaging,1,,52.000000,,,24.50000,,36.00,3530.00,2013,W. M. Keck Observatory,http://exoplanet.eu/catalog/2m_0122-24_b/,
